step,particle_id,from,to
2534,15626,RET,CUBE_R
2541,8793,FUN_3,FUN_2
2552,5425,FUN_4,FUN_3
2553,4594,FUN_1,FUN_2
2558,10875,FUN_2,FUN_1
2559,15027,FUN_1,FUN_2
2561,4004,CUBE_L,RET
2561,22077,RET,CUBE_R
2565,8214,FUN_2,FUN_3
2567,2398,FUN_2,FUN_3
2627,10066,FUN_2,FUN_3
2635,12661,FUN_2,FUN_1
2641,13741,FUN_6,CUBE_R
2643,6093,FUN_2,FUN_3
2643,6901,FUN_1,FUN_2
2653,18686,FUN_1,FUN_2
2654,8078,FUN_3,FUN_2
2655,14643,FUN_4,FUN_5
2665,22928,FUN_3,FUN_2
2686,21210,FUN_3,FUN_2
2686,26908,FUN_3,FUN_4
2687,754,FUN_1,FUN_2
2688,17937,CUBE_R,RET
2697,10312,CUBE_L,RET
2732,9661,FUN_5,FUN_6
2745,20445,FUN_2,FUN_3
2746,24861,FUN_4,FUN_5
2748,11770,FUN_4,FUN_5
2766,20645,FUN_2,FUN_1
2768,29627,FUN_2,FUN_3
2771,19558,FUN_2,FUN_3
2773,6365,RET,CUBE_R
2773,27719,FUN_3,FUN_4
2776,10806,FUN_1,FUN_2
2789,21123,FUN_1,FUN_2
2842,10223,FUN_2,FUN_3
2845,20148,FUN_1,FUN_2
2846,28783,FUN_3,FUN_4
2862,2941,CUBE_L,RET
2865,1493,RET,CUBE_L
2882,28675,FUN_4,FUN_5
2886,10851,FUN_3,FUN_2
2902,17584,FUN_3,FUN_2
2909,18375,FUN_6,CUBE_R
2910,21880,CUBE_L,RET
2919,13165,FUN_3,FUN_2
2930,24636,FUN_1,CUBE_L
2938,27048,FUN_3,FUN_2
2942,2899,CUBE_R,RET
2947,19395,FUN_2,FUN_1
2964,10179,FUN_2,FUN_3
2965,7790,FUN_3,FUN_2
2972,26431,FUN_4,FUN_3
2982,26266,FUN_4,FUN_3
3015,17626,RET,CUBE_R
3017,25225,FUN_3,FUN_4
3022,14885,FUN_2,FUN_1
3043,27755,FUN_1,FUN_2
3060,4800,FUN_4,FUN_3
3063,19780,FUN_3,FUN_4
3066,3495,FUN_3,FUN_2
3077,24345,FUN_2,FUN_1
3087,15431,FUN_1,FUN_2
3088,7790,FUN_2,FUN_3
3092,17584,FUN_2,FUN_3
3104,19600,FUN_6,FUN_5
3105,15223,FUN_4,FUN_3
3118,6871,FUN_2,FUN_1
3127,9878,RET,CUBE_L
3127,25965,CUBE_R,FUN_6
3133,21308,FUN_6,CUBE_R
3137,15536,FUN_2,FUN_3
3138,19671,FUN_2,FUN_3
3144,26646,RET,CUBE_R
3145,27314,CUBE_L,FUN_1
3148,24791,CUBE_L,FUN_1
3161,19860,FUN_1,FUN_2
3173,1960,CUBE_L,RET
3173,7922,FUN_3,FUN_2
3203,14643,FUN_5,FUN_4
3208,29928,FUN_4,FUN_3
3209,5310,FUN_2,FUN_1
3210,15149,FUN_3,FUN_4
3211,14990,FUN_1,FUN_2
3224,21396,RET,CUBE_R
3225,3140,FUN_5,FUN_4
3233,5676,FUN_3,FUN_2
3241,18816,FUN_3,FUN_4
3245,6478,FUN_3,FUN_2
3246,16894,FUN_2,FUN_3
3252,28606,FUN_1,FUN_2
3269,6703,FUN_1,CUBE_L
3316,5169,FUN_6,CUBE_R
3316,23596,FUN_2,FUN_3
3327,5214,FUN_4,FUN_3
3343,5841,FUN_1,FUN_2
3354,3378,FUN_2,FUN_3
3356,19487,FUN_1,FUN_2
3363,27266,CUBE_R,FUN_6
3365,18280,FUN_3,FUN_4
3369,17763,FUN_1,FUN_2
3406,8089,CUBE_R,FUN_6
3419,8202,FUN_6,FUN_5
3440,19200,FUN_3,FUN_2
3454,8669,FUN_5,FUN_4
3457,2481,FUN_4,FUN_5
3460,10929,FUN_3,FUN_2
3465,26348,FUN_3,FUN_4
3466,17928,FUN_6,CUBE_R
3480,10424,FUN_2,FUN_1
3508,26042,FUN_2,FUN_1
3513,7403,RET,CUBE_L
3520,560,FUN_4,FUN_5
3530,23295,CUBE_L,FUN_1
3539,29858,FUN_3,FUN_4
3540,10310,FUN_1,FUN_2
3541,1908,FUN_3,FUN_4
3542,26964,FUN_6,FUN_5
3548,1098,FUN_2,FUN_1
3562,12711,CUBE_L,RET
3567,18749,FUN_4,FUN_5
3582,24066,FUN_2,FUN_3
3625,25118,FUN_2,FUN_1
3634,1162,FUN_2,FUN_3
3634,15317,FUN_6,CUBE_R
3638,10146,FUN_6,FUN_5
3651,13690,RET,CUBE_L
3660,15285,FUN_1,FUN_2
3665,898,FUN_2,FUN_3
3704,11451,RET,CUBE_L
3705,5171,FUN_2,FUN_3
3707,18193,FUN_2,FUN_3
3718,7042,RET,CUBE_L
3719,25899,FUN_2,FUN_1
3728,23435,CUBE_R,RET
3751,13112,FUN_1,FUN_2
3756,25718,CUBE_L,RET
3757,16039,FUN_2,FUN_1
3763,17818,CUBE_L,FUN_1
3764,9631,FUN_5,FUN_6
3767,7349,FUN_3,FUN_4
3781,3100,FUN_6,CUBE_R
3797,2625,FUN_4,FUN_5
3797,24946,CUBE_R,FUN_6
3802,4036,FUN_2,FUN_3
3819,18411,FUN_3,FUN_4
3827,26642,FUN_3,FUN_2
3828,23024,FUN_4,FUN_3
3828,26185,FUN_2,FUN_1
3829,16087,CUBE_L,FUN_1
3830,27347,CUBE_R,RET
